Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;Pts;xG;Top Team Scorer;Goalkeeper
1;Barcelona;ESP;1;29;23;4;2;53;9;73;55.9;Robert Lewandowski - 17;Marc-Andr� ter Stegen
2;Napoli;ITA;1;30;24;3;3;66;21;75;53.2;Victor Osimhen - 21;Alex Meret
3;Paris S-G;FRA;1;32;24;3;5;75;31;75;64.7;Kylian Mbapp� - 22;Gianluigi Donnarumma
4;Arsenal;ENG;1;32;23;6;3;77;34;75;64.1;Martinelli - 15;Aaron Ramsdale
5;Manchester City;ENG;2;30;22;4;4;78;28;70;63.5;Erling Haaland - 32;Ederson
6;Real Madrid;ESP;2;30;20;5;5;63;24;65;64.1;Karim Benzema - 14;Thibaut Courtois
7;Dortmund;GER;1;29;19;3;7;66;39;60;52.7;Julian Brandt - 8;Gregor Kobel
8;Atl�tico Madrid;ESP;3;29;18;6;5;47;21;60;45.2;Antoine Griezmann - 11;Jan Oblak
9;Lens;FRA;2;32;19;9;4;54;25;66;56.5;Lo�s Openda - 17;Brice Samba
10;Marseille;FRA;3;31;19;7;5;57;30;64;53.5;Alexis S�nchez - 12;Pau L�pez
11;Bayern Munich;GER;2;29;17;8;4;79;33;59;62.7;Jamal Musiala - 11;Yann Sommer
12;Lazio;ITA;2;31;18;7;6;49;21;61;39.9;Ciro Immobile Mattia Zaccagni - 10;Ivan Provedel
13;Juventus;ITA;3;30;18;5;7;47;25;59;43.9;Adrien Rabiot Du�an Vlahovi? - 8;Wojciech Szcz?sny
14;Manchester Utd;ENG;3;30;18;5;7;46;37;59;49.3;Marcus Rashford - 15;David de Gea
15;Monaco;FRA;4;32;18;7;7;66;46;61;53.7;Wissam Ben Yedder - 17;Alexander N�bel
16;Newcastle Utd;ENG;4;30;15;11;4;48;24;56;50.4;Miguel Almir�n - 11;Nick Pope
17;Roma;ITA;4;30;17;5;8;42;26;56;47.4;Paulo Dybala - 11;Rui Patr�cio
18;Union Berlin;GER;3;28;15;7;6;43;31;52;30.8;Sheraldo Becker - 8;Frederik R�nnow
19;RB Leipzig;GER;4;28;15;6;7;53;35;51;49.8;Christopher Nkunku - 12;Janis Blaswich
20;Real Sociedad;ESP;4;30;16;6;8;39;29;54;38.9;Alexander S�rloth - 10;�lex Remiro
21;Freiburg;GER;5;28;14;8;6;41;37;50;38.9;Vincenzo Grifo - 13;Mark Flekken
22;Milan;ITA;5;30;15;8;7;49;37;53;47;Rafael Le�o - 10;Ciprian T?t?ru?anu
23;Lille;FRA;5;32;16;8;8;57;40;56;59.2;Jonathan David - 21;Lucas Chevalier
24;Rennes;FRA;6;31;16;5;10;51;33;53;48.6;Amine Gouiri - 10;Steve Mandanda
25;Tottenham;ENG;5;31;16;5;10;57;45;53;45.4;Harry Kane - 23;Hugo Lloris
26;Inter;ITA;6;30;16;3;11;48;34;51;55;Lautaro Mart�nez - 14;Andr� Onana
27;Brighton;ENG;8;29;14;7;8;54;37;49;54;Alexis Mac Allister - 8;Robert S�nchez
28;Atalanta;ITA;7;30;14;7;9;48;35;49;46.6;Ademola Lookman - 13;Juan Musso
29;Villarreal;ESP;6;29;14;5;10;38;28;47;43.1;Jos� Luis Morales - 7;Pepe Reina Ger�nimo Rulli
30;Liverpool;ENG;7;31;14;8;9;59;38;50;57.5;Mohamed Salah - 16;Alisson
31;Lyon;FRA;7;31;14;8;9;49;34;50;48.3;Alexandre Lacazette - 19;Anthony Lopes
32;Betis;ESP;5;30;14;6;10;39;33;48;43.5;Borja Iglesias - 12;Rui Silva
33;Aston Villa;ENG;6;32;15;6;11;45;41;51;41.8;Ollie Watkins - 14;Emiliano Mart�nez
34;Leverkusen;GER;7;28;13;5;10;51;41;44;44.4;Moussa Diaby - 9;Luk� Hr�deck?
35;Mainz 05;GER;6;29;12;9;8;49;40;45;39.9;Marcus Ingvartsen Karim Onisiwo - 9;Robin Zentner
36;Athletic Club;ESP;7;30;13;7;10;42;30;46;40.8;I�aki Williams Oihan Sancet - 8;Unai Sim�n
37;Reims;FRA;8;31;11;14;6;40;32;47;51.7;Folarin Balogun - 18;Yehvann Diouf
38;Wolfsburg;GER;8;29;11;10;8;51;37;43;42.9;Yannick Gerhardt - 6;Koen Casteels
39;Nice;FRA;9;31;11;12;8;38;29;45;42.7;Ga�tan Laborde - 8;Kasper Schmeichel
40;Eint Frankfurt;GER;9;29;11;9;9;49;45;42;43.3;Randal Kolo Muani - 13;Kevin Trapp
41;Fulham;ENG;9;31;13;6;12;44;42;45;38.6;Aleksandar Mitrovi? - 11;Bernd Leno
42;Lorient;FRA;10;31;12;9;10;43;43;45;36.6;Terem Moffi - 12;Vito Mannone
43;Bologna;ITA;8;31;12;8;11;40;39;44;33.4;Marko Arnautovi? Riccardo Orsolini - 8;?ukasz Skorupski
44;Fiorentina;ITA;9;30;11;9;10;35;33;42;42.3;Arthur - 7;Pietro Terracciano
45;Clermont Foot;FRA;11;31;12;7;12;33;42;43;36.5;Grejohn Kyei Muhammed Saracevic Cham - 6;Mory Diaw
46;Brentford;ENG;10;32;10;14;8;48;43;44;47.9;Ivan Toney - 19;David Raya
47;Osasuna;ESP;8;30;11;8;11;28;32;41;30.8;Ezequiel �vila - 7;Aitor Fern�ndez
48;Torino;ITA;10;31;11;9;11;32;36;42;33.6;Antonio Sanabria - 9;Vanja Milinkovi?-Savi?
49;Rayo Vallecano;ESP;9;30;10;10;10;36;36;40;34.5;Isaac Palaz�n Camacho - 8;Stole Dimitrievski
50;Udinese;ITA;12;30;9;12;9;39;39;39;39.5;Beto - 10;Marco Silvestri
51;M'Gladbach;GER;10;28;9;9;10;43;45;36;41.7;Marcus Thuram - 13;Jonas Omlin
52;Sassuolo;ITA;11;31;11;7;13;38;46;40;40.7;Armand Lauriente - 7;Andrea Consigli
53;Mallorca;ESP;11;29;10;7;12;26;30;37;25.6;Vedat Muriqi - 12;Predrag Rajkovi?
54;Girona;ESP;10;30;10;8;12;44;43;38;39.9;Cristhian Stuani Valent�n Castellanos - 7;Paulo Gazzaniga
55;Monza;ITA;13;30;10;8;12;35;41;38;36.5;Carlos - 5;Michele Di Gregorio
56;Chelsea;ENG;11;31;10;9;12;30;33;39;39.5;Kai Havertz - 7;Kepa Arrizabalaga
57;Toulouse;FRA;12;31;11;5;15;47;54;38;43.6;Thijs Dallinga - 12;Maxime Dup�
58;K�ln;GER;11;29;8;11;10;40;47;35;38.6;Florian Kainz Ellyes Skhiri - 6;Marvin Schw�be
59;Sevilla;ESP;13;29;9;8;12;35;44;35;33.7;Youssef En-Nesyri - 7;Yassine Bounou
60;Werder Bremen;GER;12;29;10;5;14;47;56;35;35.9;Niclas F�llkrug - 16;Ji?� Pavlenka
61;Celta Vigo;ESP;12;30;9;9;12;36;42;36;36.7;Iago Aspas - 12;Agust�n Marches�n
62;Montpellier;FRA;13;31;11;4;16;47;52;37;39.6;Sepe Elye Wahi - 13;Jonas Omlin
63;Valladolid;ESP;14;30;10;5;15;26;48;35;28.9;Sergio Le�n Cyle Larin - 5;Jordi Masip
64;Crystal Palace;ENG;12;32;9;10;13;31;40;37;31.5;Eberechi Eze - 7;Vicente Guaita
65;Getafe;ESP;16;29;7;10;12;27;36;31;26;Enes �nal - 13;David Soria
66;Empoli;ITA;15;30;7;11;12;25;37;32;28.9;Tommaso Baldanzi - 4;Guglielmo Vicario
67;C�diz;ESP;15;30;7;11;12;23;42;32;29.4;�lex Fern�ndez Lucas P�rez... - 3;Jerem�as Ledesma
68;Salernitana;ITA;14;31;7;12;12;37;50;33;31;Boulaye Dia - 11;Luigi Sepe
69;Wolves;ENG;13;32;9;7;16;27;44;34;31.6;Daniel Podence - 6;Jos� S�
70;Bournemouth;ENG;14;31;9;6;16;31;59;33;31.2;Philip Billing - 7;Neto
71;West Ham;ENG;15;30;8;7;15;29;41;31;38.7;Sa�d Benrahma Jarrod Bowen - 5;?ukasz Fabia?ski
72;Augsburg;GER;13;29;8;6;15;38;54;30;30.7;Mergim Berisha - 9;Rafa? Gikiewicz
73;Auxerre;FRA;14;32;8;9;15;30;53;33;35.5;M'Baye Niang Nuno da Costa - 5;Beno�t Costil
74;Nantes;FRA;15;31;6;13;12;33;44;31;35.3;Mostafa Mohamed - 8;Alban Lafont
75;Hoffenheim;GER;14;29;8;5;16;39;50;29;41.2;Andrej Kramari? - 9;Oliver Baumann
76;Brest;FRA;16;31;7;10;14;35;48;31;35.1;J�r�my Le Douaron - 8;Marco Bizot
77;Almer�a;ESP;17;30;8;6;16;36;52;30;34.6;El Bilal Tour� - 6;Fernando
78;Strasbourg;FRA;17;31;6;11;14;41;53;29;38.4;Habib Diallo - 15;Matz Sels
79;Valencia;ESP;19;29;7;6;16;30;36;27;37.1;Edinson Cavani Justin Kluivert - 5;Giorgi Mamardashvili
80;Lecce;ITA;16;30;6;10;14;26;36;28;26.2;Gabriel Strefezza - 7;Wladimiro Falcone
81;Espanyol;ESP;18;30;6;10;14;35;49;28;34.9;Joselu - 12;�lvaro Fern�ndez
82;Bochum;GER;15;29;8;3;18;32;66;27;34.4;Philipp Hofmann - 8;Manuel Riemann
83;Leeds United;ENG;16;32;7;8;17;41;62;29;39.7;Rodrigo - 11;Illan Meslier
84;Leicester City;ENG;17;32;8;4;20;43;56;28;40.4;Harvey Barnes - 10;Danny Ward
85;Everton;ENG;18;32;6;10;16;24;46;28;34.3;Demarai Gray Dwight McNeil - 4;Jordan Pickford
86;Spezia;ITA;17;31;5;12;14;26;49;27;33.1;M'Bala Nzola - 13;Bart?omiej Dr?gowski
87;Stuttgart;GER;16;29;5;10;14;36;51;25;38.1;Sehrou Guirassy - 7;Florian M�ller
88;Schalke 04;GER;17;28;5;9;14;26;52;24;32.1;Marius B�lter - 9;Alexander Schwolow
89;Hellas Verona;ITA;18;31;6;8;17;26;44;26;30.2;Simone Verdi - 4;Lorenzo Montip�
90;Nott'ham Forest;ENG;19;32;6;9;17;26;59;27;32.1;Brennan Johnson - 8;Dean Henderson
91;Hertha BSC;GER;18;29;5;7;17;35;59;22;33.9;Dodi Lukebakio - 11;Oliver Christensen
92;Southampton;ENG;20;32;6;6;20;27;56;24;30.5;James Ward-Prowse - 7;Gavin Bazunu
93;Troyes;FRA;18;31;4;9;18;39;67;21;34.2;Mama Samba Bald� - 11;Gauthier Gallon
94;Ajaccio;FRA;19;31;6;3;22;22;58;21;34.2;Youcef Bela�li Mounaim El Idrissy - 6;Benjamin Leroy
95;Cremonese;ITA;19;30;3;10;17;27;54;19;31.7;Cyriel Dessers Daniel Ciofani - 6;Marco Carnesecchi
96;Sampdoria;ITA;20;31;3;8;20;20;52;17;27.8;Manolo Gabbiadini - 6;Emil Audero
97;Elche;ESP;20;29;2;7;20;20;59;13;25.5;Pere Milla - 6;�dgar Bad�a
98;Angers;FRA;20;32;3;5;24;25;68;14;36;Adrien Hunou Sofiane Boufal - 4;Paul Bernardoni
