INSERT INTO Competition (year, host, winner, runnerup) VALUES ('2022', 'Qatar', 'Argentina', 'France');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('2018', 'Russia', 'France', 'Croatia');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('2014', 'Brazil', 'Germany', 'Argentina');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('2010', 'South Africa', 'Spain', 'Netherlands');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('2006', 'Germany', 'Italy', 'France');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('2002', 'Japan', 'Brazil', 'Germany');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1998', 'France', 'France', 'Brazil');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1994', 'USA', 'Brazil', 'Italy');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1990', 'Italy', 'Germany', 'Argentina');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1986', 'Mexico', 'Argentina', 'Germany');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1982', 'Spain', 'Italy', 'Germany');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1978', 'Argentina', 'Argentina', 'Netherlands');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1974', 'Germany', 'Germany', 'Netherlands');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1970', 'Mexico', 'Brazil', 'Italy');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1966', 'England', 'England', 'Germany');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1962', 'Chile', 'Brazil', 'Czechoslovakia');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1958', 'Sweden', 'Brazil', 'Sweden');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1954', 'Switzerland', 'Germany', 'Hungary');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1950', 'Brazil', 'Uruguay', 'Brazil');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1938', 'France', 'Italy', 'Hungary');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1934', 'Italy', 'Italy', 'Czechoslovakia');
INSERT INTO Competition (year, host, winner, runnerup) VALUES ('1930', 'Uruguay', 'Uruguay', 'Argentina');